ID;Кол-во чел в д/х
54-101-001-01;4
54-602-024-01;3
54-601-020-01;3
54-701-021-01;2
54-504-035-01;2
54-504-009-01;2
54-502-001-01;2
54-602-040-01;2
54-504-003-01;4
54-504-002-01;2
54-504-032-01;1
54-504-036-01;2
54-504-028-01;2
54-702-018-01;1
54-502-012-01;2
54-601-004-02;
54-503-018-01;2
54-502-006-02;
54-702-026-01;4
54-601-056-01;1
54-601-055-01;2
54-601-052-01;2
54-503-004-01;1
54-503-021-01;2
54-502-008-01;1
54-503-006-01;4
54-601-051-01;2
54-601-004-01;3
54-701-024-02;
54-701-037-01;4
54-701-020-01;3
54-701-035-01;3
54-701-034-01;1
54-701-029-01;4
54-601-030-02;
54-601-030-04;
54-601-033-01;2
54-601-033-02;
54-601-043-01;3
54-601-034-02;
54-002-015-01;3
54-601-041-01;2
54-002-103-01;1
54-002-172-01;5
54-602-026-02;
54-701-037-02;
54-602-035-01;2
54-602-057-01;4
54-602-048-01;3
54-103-001-01;2
54-602-058-01;3
54-602-049-01;1
54-103-002-01;4
54-103-003-01;2
54-701-032-01;1
54-602-051-01;2
54-602-059-01;2
54-602-060-01;5
54-701-033-02;
54-602-053-01;3
54-602-039-01;2
54-602-062-01;4
54-602-054-01;2
54-602-002-01;3
54-602-038-01;3
54-602-055-01;2
54-601-012-02;
54-103-004-01;2
54-103-006-02;
54-103-007-01;3
54-701-033-01;4
54-601-011-01;2
54-602-056-01;3
54-601-013-01;2
54-701-028-01;3
54-602-035-02;
54-601-016-01;1
54-601-017-02;
54-602-036-01;2
54-602-034-01;2
54-602-037-01;2
54-602-041-01;4
54-602-042-01;2
54-602-044-01;2
54-602-047-01;2
54-601-009-02;
54-601-010-02;
54-601-011-02;
54-601-015-02;
54-601-050-01;2
54-601-019-01;3
54-601-005-02;
54-601-006-01;3
54-601-029-01;4
54-701-019-01;4
54-601-027-01;3
54-601-028-02;
54-602-030-01;1
54-602-014-01;1
54-602-013-01;2
54-701-024-01;2
54-601-008-01;6
54-701-023-01;1
54-701-022-01;3
54-701-011-01;4
54-701-014-01;2
54-602-006-01;2
54-701-016-01;3
54-701-017-01;2
54-602-033-01;4
54-602-032-01;2
54-701-018-01;5
54-602-005-01;5
54-602-004-01;3
54-701-036-01;3
54-701-031-01;1
54-701-013-01;4
54-602-031-01;5
54-701-039-01;5
54-701-018-02;
54-701-015-01;2
54-602-026-01;2
54-701-041-01;2
54-701-014-02;
54-602-008-01;1
54-701-012-01;3
54-701-012-02;
54-602-009-02;
54-602-025-01;4
54-701-011-02;
54-602-010-01;4
54-701-030-01;2
54-701-008-01;2
54-602-015-01;2
54-102-003-01;4
54-701-027-01;2
54-701-026-01;3
54-701-025-01;4
54-701-045-01;5
54-701-046-01;3
54-701-004-01;1
54-701-047-01;1
54-701-005-01;1
54-701-048-01;2
54-102-014-02;
54-102-021-01;3
54-102-026-01;1
54-701-002-01;2
54-701-003-01;6
54-701-006-01;3
54-701-007-01;2
54-702-036-01;1
54-702-038-01;2
54-702-037-01;2
54-702-004-01;3
54-702-035-01;2
54-702-033-01;4
54-701-009-01;3
54-701-010-01;3
54-702-031-01;2
54-702-027-01;4
54-702-007-01;3
54-702-025-01;4
54-702-008-01;3
54-702-011-01;2
54-702-013-01;2
54-702-024-01;3
54-702-012-01;6
54-702-010-01;2
54-501-057-01;2
54-501-058-01;1
54-501-065-01;2
54-702-022-01;3
54-501-066-01;2
54-602-011-01;1
54-501-067-01;3
54-501-068-01;1
54-501-069-01;4
54-501-071-02;
54-601-025-01;3
54-601-021-02;
