ID;Вода,г;белки,г;жиры,г;НЖК,г;ПНЖК,г;Холестерин,г;Моно-дисахариды,г;Крахмал,г;Углеводы,г;Пищ.волокна,г;Орг.кислоты,г;Зола,г;Na (натрий),мг;K (калий),мг;Ca (кальций),мг;Mg (магний),мг;P,мг;Fe (железо),мг;A,мкг;Бета-каротин,мкг;Ретиноловый эквивалент,мкг;Токоферолэквивалент,мкг;B1,мг;B2,мг;PP,мг;Ниациновый эквивалент,мкг;C,мкг;Алкоголь,%;ЭЦ,ккал
54-101-001-01;6307,326915;830561,3248;557019,1461;601272,405;1357,301223;10916,16774;431589,1943;478842,4376;247765,571;297301,6616;722228,7043;1159788,715;74056,67712;39713,36164;27297,36102;42602,77974;23625,70426;513555,0286;4802,278315;4267,04228;16703,41337;699673,3363;6751241,011;5714478,881;501795,6686;285056,0092;54255,37178;16644,81709;8165,993466
54-602-024-01;5267,221806;327061,253;413544,8891;281105,8403;76,72680412;5913,423464;143571,3698;417676,8109;73303,04594;189683,1693;606245,0141;523256,5343;31492,95238;17116,24989;13163,72251;20256,53085;10178,38068;310531,9596;3054,915585;2609,739366;9686,443666;521644,3112;4951970,799;4272927,981;406174,6864;223309,5953;42293,9575;17272,94209;4380,842091
54-601-020-01;10404,68582;546479,0502;1275493,262;1089135,765;543,7268041;21526,69899;554104,7964;1315838,165;244548,5862;452002,6917;1890658,514;934084,2928;27430,25399;18440,60165;29532,41407;37330,40265;19029,54362;919355,6603;9833,80605;7386,227233;27950,66831;1667141,037;13950433,95;11535678,04;1285018,847;667286,8384;117347,6094;1360,74512;14274,47312
54-701-021-01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
54-504-035-01;7401,222626;862027,2612;1106066,561;760867,6493;4325,180412;14513,87918;177751,0589;777090,8087;71009,34502;313645,4052;1160408,716;1187092,389;79675,95889;39280,58613;27963,95447;48663,26636;26819,33066;640288,3425;5503,530756;6399,274696;33773,23849;1176080,932;9599733,634;8469388,074;923436,3385;529718,6982;66072,80384;42900;9442,214503
54-504-009-01;6921,622096;867210,1422;1042701,809;893258,2876;1283,030303;16369,21218;242950,8906;773511,5714;121917,3573;479533,9177;999078,7652;1196719,857;81704,68125;39178,91173;27812,11981;48136,83518;27622,36908;774258,5504;5367,995263;4344,49397;22117,21534;1230518,971;12014990,67;7320795,832;880906,6842;487999,2069;97734,91416;0;9628,485313
54-502-001-01;11281,36923;1048443,612;1099662,045;1298732,72;1896,745032;13644,85532;1366432,993;1609273,323;680142,2756;288190,1381;1442569,973;1861160,352;38817,81124;21062,47311;43830,28193;32553,13974;33339,15428;573910,85;6260,899378;5952,68782;23137,35881;1000907,902;8194340,097;7659570,954;1135776,874;659159,0836;66376,97043;19714,91179;22985,04944
54-602-040-01;5366,751184;884475,4679;1575540,083;628707,6754;2649,66486;7741,578609;399979,1774;644318,3145;199379,4802;166899,0305;1159380,661;1345219,715;71201,23155;39248,14102;27677,79029;40850,11849;24568,68975;927132,8105;4194,828841;5824,670907;21077,30446;692830,187;7228150,77;5683871,532;1006315,943;338201,6609;76122,11427;6700;11266,95178
54-504-003-01;7142,440512;188013,7495;469391,9917;564911,6957;1685,030303;10314,64824;123320,1924;407140,4664;30382,9674;262213,9025;675960,0407;670409,9727;15033,56011;58231,42379;12731,00157;23542,01517;6490,568596;318733,0982;4553,332246;4128,953143;14725,37481;583491,433;5615481,589;6181046,487;517848,6354;312226,2985;26865,46324;28600;4145,490196
54-504-002-01;7575,43622;1700181,866;1239193,795;1060428,28;446,6666667;14374,81632;905942,7955;1586928,346;462212,807;495887,9937;1406799,935;2112651,231;126406,5878;13795,66391;49271,01572;63118,46871;50387,27613;838706,6658;5827,96274;5440,534533;23590,22533;1418458,67;11873243,02;8421789,807;992933,7075;610651,0288;106893,2943;14300;20533,13438
54-504-032-01;4363,272159;744438,9512;632949,9087;425378,8334;990,2042739;5319,799694;152411,0157;520972,9967;97061,06852;111407,7821;525889,3432;1186252,97;73945,95516;62944,89446;20128,27738;39956,46719;21156,63796;432845,8943;3065,725695;4332,868132;20662,18841;643660,4705;5285257,041;4838372,067;521317,6647;280421,896;50625,06089;0;6414,008884
54-504-036-01;10896,2883;905733,4704;1003458,463;900726,1557;7705,038163;21269,82431;372722,3867;826961,4991;156884,062;530206,8124;1376300,42;1452494,851;84812,14078;65833,2033;36030,41389;63294,08878;28798,98815;911037,7652;9996,367711;6976,519109;28519,83707;1460285,762;13319226,67;13315591,27;1196407,27;597728,587;88631,25202;100000;9978,219106
