ID;Тип крыши;Электр-во;Тип топлива;Источник тепла;Источник воды;Воды нет, мин;Мопед;Автомобиль;Число авто;Прочие авто;Велосипед;Повозки;ПК;Число ПК;Стир машина;Кух комбайн;Холодильник;Телевизор;Число телев;Стерео;Телефон;Газонокос;Снегоуборщ;Микроволновка;Посудомоеч;Ежемес доход;Деньги на пищу;Дача;Площадь дачи;Место для пригот пищи;Вытяжка;Готовка вне дома, месяц;Вопрос 10a/ месяц;Вопрос 10a/ 5 лет;Вопрос 10b/ месяц;Вопрос 10b/ 5 лет;Вопрос 10c/ месяц;Вопрос 10c/ 5 лет;Квартира;Др квартира;Холодная дача;Теплая дача;Машина;Гараж;Ферма;Лавка;Другое;Др уточнить;Часть дохода на еду;Вопрос 13;Достаток по срав с друг;Тип жилья;Число комнат;Площадь жилья
54-101-001-01;железобетон;1;электричество;центральное отопление;перекачиваемая вода;меньше 5 минут;0;1;1;0;1;0;1;7;1;1;1;1;3;1;1;0;0;1;0;10000;5000;1;1000;внутри дома;окно, дымоход;1;никогда;никогда;редко;редко;никогда;никогда;1;0;1;0;1;0;1;1;0;;1/2 (половина);Мы  можем  приобретать  товары  длительного  пользования,  но не можем приобрести такие вещи как квартиру, дома, или дорогой автомобиль;очень низкий;квартира;4;60
54-602-024-01;железобетон;1;электричество;центральное отопление;перекачиваемая вода;;0;0;0;0;1;0;0;1;1;0;1;0;4;0;1;0;0;0;0;19000;12000;0;;внутри дома;окно;1;никогда;никогда;часто;часто;редко;редко;0;0;0;0;0;0;0;0;0;;2/3;Нам  не  хватает  даже на самое необходимое (пищу, коммунальные счета, необходимую одежду, недорогое лечение);низкий;квартира;3;72
54-601-020-01;шифер;1;электричество;уголь;артезианский колодец;30 - 60 минут;0;0;0;0;1;0;0;0;1;0;1;1;3;0;0;0;0;1;0;30000;10000;1;200;внутри дома;окно;1;никогда;никогда;редко;редко;никогда;никогда;1;0;0;0;0;1;0;0;0;;1/3;Время  от  времени  мы  может  приобретать  дорогие товары длительного пользования;средний;собственный дом;3;72
54-701-021-01;шифер;1;газ;уголь;перекачиваемая вода;;0;1;1;0;1;0;1;1;1;0;1;1;1;1;1;1;0;1;0;25000;15000;1;1000;внутри дома;окно;1;никогда;никогда;никогда;никогда;никогда;никогда;0;0;0;1;1;1;0;0;0;;2/3;Время  от  времени  мы  может  приобретать  дорогие товары длительного пользования;средний;собственный дом;2;219
54-504-035-01;шифер;1;электричество;уголь;перекачиваемая вода;;0;1;1;0;1;0;1;1;1;0;1;1;2;1;1;0;0;1;1;50000;15000;1;800;внутри дома;окно, вытяжка;1;никогда;никогда;никогда;никогда;никогда;никогда;0;0;0;1;1;1;1;0;0;;1/3;Мы  можем  приобретать  товары  длительного  пользования,  но не можем приобрести такие вещи как квартиру, дома, или дорогой автомобиль;средний;собственный дом;3;58
54-504-009-01;оцинкованные стальные листы;1;электричество;уголь;перекачиваемая вода;;1;1;1;0;1;0;1;1;1;1;1;1;3;1;1;0;0;1;0;18000;15000;1;1500;внутри дома;окно, дымоход;1;никогда;никогда;часто;иногда;никогда;никогда;1;0;0;0;1;1;1;0;0;;2/3;Мы  можем  приобретать  все  самое  необходимое,  но не можем покупать дорогие товары длительного пользования;средний;квартира;3;33
54-502-001-01;шифер;1;электричество;уголь;скважина района;;0;0;0;1;1;1;0;0;1;1;1;1;2;1;1;1;0;1;0;21000;7000;1;2500;внутри дома;окно, дымоход;1;никогда;никогда;никогда;никогда;никогда;никогда;1;0;0;0;1;1;1;0;0;;1/3;Время  от  времени  мы  может  приобретать  дорогие товары длительного пользования;средний;собственный дом;3;42
54-602-040-01;шифер;1;электричество;центральное отопление;перекачиваемая вода;;0;0;0;0;0;0;0;0;1;0;1;1;1;0;0;0;0;0;0;19000;6000;1;1000;внутри дома;окно;1;никогда;иногда;никогда;все время;никогда;никогда;1;0;0;0;0;0;1;0;0;;1/3;Мы  можем  приобретать  все  самое  необходимое,  но не можем покупать дорогие товары длительного пользования;средний;собственный дом;3;32
54-504-003-01;шифер;1;электричество;уголь;перекачиваемая вода;;1;0;0;0;1;0;1;1;1;0;1;1;2;0;1;0;0;0;0;21000;5000;1;400;внутри дома;окно;1;никогда;редко;часто;все время;никогда;часто;1;0;0;0;0;0;1;0;0;;1/3;Время  от  времени  мы  может  приобретать  дорогие товары длительного пользования;низкий;квартира;3;50
54-504-002-01;шифер;1;электричество;центральное отопление;перекачиваемая вода;;0;1;2;1;1;1;1;1;1;1;1;1;4;0;1;1;0;1;0;25000;3000;1;4000;внутри дома;окно;1;никогда;никогда;никогда;никогда;никогда;никогда;1;1;0;0;1;1;1;0;0;;1/10 или менее;Мы  можем  приобретать  товары  длительного  пользования,  но не можем приобрести такие вещи как квартиру, дома, или дорогой автомобиль;средний;собственный дом;3;52
54-504-032-01;шифер;1;газ;уголь;перекачиваемая вода;;0;0;0;0;0;0;0;0;1;1;1;1;2;1;1;0;0;1;0;15000;5000;1;1100;внутри дома;окно, дымоход;1;никогда;никогда;никогда;никогда;никогда;никогда;1;0;0;0;0;0;0;0;0;;1/3;Время  от  времени  мы  может  приобретать  дорогие товары длительного пользования;низкий;квартира;3;63
54-504-036-01;железобетон;1;электричество;уголь;перекачиваемая вода;;0;0;0;1;0;0;1;1;1;1;1;1;1;0;1;1;0;0;0;33000;10000;1;380;внутри дома;окно;3;никогда;никогда;никогда;никогда;никогда;никогда;1;0;0;0;0;0;1;0;0;;1/3;Время  от  времени  мы  может  приобретать  дорогие товары длительного пользования;средний;собственный дом;3;32
54-504-028-01;шифер;1;электричество;уголь;перекачиваемая вода;;0;1;1;0;0;0;0;0;1;1;1;1;2;0;1;0;0;1;0;25000;12500;1;400;внутри дома;окно, дымоход;1;никогда;никогда;никогда;никогда;никогда;никогда;1;0;0;0;1;1;0;0;0;;1/2 (половина);Время  от  времени  мы  может  приобретать  дорогие товары длительного пользования;средний;собственный дом;3;42
54-702-018-01;шифер;1;каменный уголь;уголь;перекачиваемая вода;;0;0;0;0;0;0;1;1;1;0;1;1;3;1;1;0;0;1;0;30000;5000;0;;внутри дома;окно;1;никогда;никогда;часто;часто;никогда;никогда;1;0;0;0;0;0;0;0;0;;1/3;Мы можем приобретать все самое необходимое, но не можем покупать дорогие товары длительного пользования;низкий;общежитие;3;50
54-502-012-01;шифер;1;древесный уголь;уголь;скважина домохозяйства;;0;1;2;1;1;0;0;0;1;1;1;1;1;1;1;0;0;1;1;26000;5000;1;2000;внутри дома;окно;1;никогда;никогда;никогда;никогда;никогда;никогда;0;1;0;0;1;1;1;0;0;;1/3;Время  от  времени  мы  может  приобретать  дорогие товары длительного пользования;низкий;собственный дом;2;20
54-601-004-02;;0;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;0;;;;;;;;;;;0;0;0;0;0;0;0;0;0;;;;;;;
54-503-018-01;оцинкованные стальные листы;1;электричество;электричество;бак с водой;60 - 90 минут;0;1;1;0;0;0;1;1;1;1;1;1;2;0;1;1;0;1;1;50000;25000;1;1500;внутри дома;окно;1;никогда;никогда;часто;редко;никогда;иногда;0;0;0;1;1;1;1;0;0;;1/2 (половина);Мы  можем  приобретать  товары  длительного  пользования,  но не можем приобрести такие вещи как квартиру, дома, или дорогой автомобиль;средний;собственный дом;2;35
54-502-006-02;;0;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;0;;;;;;;;;;;0;0;0;0;0;0;0;0;0;;;;;;;
54-702-026-01;шифер;1;электричество;камин (уголь);перекачиваемая вода;;0;1;1;0;1;0;1;1;1;0;1;1;3;0;0;0;0;1;0;12000;4000;1;500;внутри дома;дымоход;1;все время;все время;иногда;иногда;никогда;никогда;0;0;0;0;1;0;0;0;0;;1/3;Мы  можем  приобретать  все  самое  необходимое,  но не можем покупать дорогие товары длительного пользования;низкий;собственный дом;3;40
54-601-056-01;шифер;1;электричество;центральное отопление;перекачиваемая вода;;0;0;0;0;1;0;0;0;1;1;1;1;2;1;1;0;0;1;0;20000;10000;1;1000;внутри дома;окно;1;никогда;никогда;иногда;иногда;иногда;иногда;0;0;0;1;0;0;1;0;0;;1/2 (половина);Мы можем приобретать все самое необходимое, но не можем покупать дорогие товары длительного пользования;средний;собственный дом;3;45
54-601-055-01;шифер;1;древесный уголь;уголь;скважина домохозяйства;меньше 5 минут;0;1;1;0;1;0;0;0;1;1;1;1;3;1;1;0;0;1;0;30000;15000;1;500;внутри дома;окно, дымоход, вытяжка;1;никогда;никогда;никогда;никогда;никогда;никогда;1;0;0;1;1;0;1;0;0;;1/2 (половина);Время  от  времени  мы  может  приобретать  дорогие товары длительного пользования;средний;собственный дом;2;34
